"session","player","stage","step","round","time","timeup"
"room000002","967724102779941","instructions","instructions",1,38454,0
"room000002","967724102779941","quiz","quiz",1,21448,0
"room000002","967724102779941","game","guess",1,10009,1
"room000002","967724102779941","game","results",1,5022,1
"room000002","967724102779941","game","guess",2,10001,1
"room000002","967724102779941","game","results",2,5017,1
"room000002","967724102779941","game","guess",3,10005,1
"room000002","967724102779941","game","results",3,699,1
"room000002","967724102779941","game","guess",4,1376,0
"room000002","967724102779941","game","results",4,1175,0
