"session","player","stage","step","round","time","timeup"
"room000045","825684958765953","instructions","instructions",1,2296,0
"room000045","825684958765953","desease","desease",1,1684,0
"room000045","825684958765953","quiz","quiz",1,6687,0
"room000045","825684958765953","game","guess",1,2932,0
"room000045","825684958765953","game","results",1,1188,0
"room000045","825684958765953","game","guess",2,1344,0
"room000045","825684958765953","game","results",2,1172,0
"room000045","825684958765953","game","guess",3,1817,0
"room000045","825684958765953","game","results",3,1423,0
"room000045","825684958765953","game","guess",4,1429,0
"room000045","825684958765953","game","results",4,1204,0
