"session","player","stage","step","round","time","timeup"
"room000087","989362334623136","instructions","instructions",1,4352,0
"room000087","989362334623136","desease","desease",1,2444,0
"room000087","989362334623136","quiz","quiz",1,4144,0
"room000087","989362334623136","game","vaccination",1,10575,0
"room000087","989362334623136","game","opend",1,5973,0
"room000087","989362334623136","game","vaccination",2,6827,0
"room000087","989362334623136","game","opend",2,1654,0
"room000087","989362334623136","game","vaccination",3,1954,0
"room000087","989362334623136","game","opend",3,2445,0
"room000087","989362334623136","game","vaccination",4,1304,0
"room000087","989362334623136","game","opend",4,1164,0
"room000087","989362334623136","game","vaccination",5,6426,0
"room000087","989362334623136","game","opend",5,2093,0
