"session","player","stage","step","round","time","timeup"
"room000044","187263103902096","instructions","instructions",1,1311,0
"room000044","187263103902096","desease","desease",1,1444,0
"room000044","187263103902096","quiz","quiz",1,4026,0
"room000044","187263103902096","game","guess",1,3989,0
"room000044","187263103902096","game","results",1,1521,0
"room000044","187263103902096","game","guess",2,2002,0
"room000044","187263103902096","game","results",2,1279,0
"room000044","187263103902096","game","guess",3,1804,0
"room000044","187263103902096","game","results",3,1229,0
"room000044","187263103902096","game","guess",4,1581,0
"room000044","187263103902096","game","results",4,1234,0
