"session","player","stage","step","round","time","timeup"
"room000046","402710296501715","instructions","instructions",1,653,0
"room000046","402710296501715","desease","desease",1,1143,0
"room000046","402710296501715","quiz","quiz",1,5137,0
"room000046","402710296501715","game","guess",1,1881,0
"room000046","402710296501715","game","results",1,951,0
"room000046","402710296501715","game","guess",2,1349,0
"room000046","402710296501715","game","results",2,930,0
"room000046","402710296501715","game","guess",3,1739,0
"room000046","402710296501715","game","results",3,3611,0
"room000046","402710296501715","game","guess",4,1871,0
"room000046","402710296501715","game","results",4,1715,0
