"session","player","stage","step","round","time","timeup"
"room000061","255427639255797","instructions","instructions",1,476,0
"room000061","255427639255797","desease","desease",1,553,0
"room000061","255427639255797","quiz","quiz",1,2920,0
"room000061","255427639255797","game","guess",1,9656,0
"room000061","255427639255797","game","results",1,5012,0
"room000061","255427639255797","game","guess",2,5523,0
"room000061","255427639255797","game","results",2,5009,0
"room000061","255427639255797","game","guess",3,9998,0
"room000061","255427639255797","game","results",3,2214,0
"room000061","255427639255797","game","guess",4,5351,0
"room000061","255427639255797","game","results",4,6030,0
