"session","player","stage","step","round","time","timeup"
"room000019","367424725261594","instructions","instructions",1,1814,0
"room000019","367424725261594","desease","desease",1,1482,0
"room000019","367424725261594","quiz","quiz",1,5847,0
"room000019","367424725261594","game","guess",1,3667,0
"room000019","367424725261594","game","results",1,3186,0
"room000019","367424725261594","game","guess",2,1804,0
"room000019","367424725261594","game","results",2,1342,0
"room000019","367424725261594","game","guess",3,1996,0
"room000019","367424725261594","game","results",3,958,0
"room000019","367424725261594","game","guess",4,1490,0
"room000019","367424725261594","game","results",4,1988,0
